2025-11-11 21:26:36,887 - INFO - Logging to runs_gan_snn\train_20251111_212636.log
2025-11-11 21:26:36,915 - INFO - Saved configuration to runs_gan_snn\config.json
2025-11-11 21:26:36,915 - INFO - Using Spectral Normalization mode with TTUR
2025-11-11 21:26:37,567 - INFO - Using Hinge Loss
2025-11-11 21:26:37,567 - INFO - Starting training for 150 epochs...
2025-11-11 21:29:53,817 - INFO - Epoch 1/150 - Loss D: 0.8014, Loss G: 1.0190
2025-11-11 21:33:08,861 - INFO - Epoch 2/150 - Loss D: 1.4860, Loss G: 0.2983
2025-11-11 21:36:23,040 - INFO - Epoch 3/150 - Loss D: 1.2229, Loss G: 0.4810
2025-11-11 21:39:37,675 - INFO - Epoch 4/150 - Loss D: 1.3130, Loss G: 0.3981
2025-11-11 21:42:49,793 - INFO - Epoch 5/150 - Loss D: 1.4216, Loss G: 0.3372
2025-11-11 21:46:01,451 - INFO - Epoch 6/150 - Loss D: 1.4687, Loss G: 0.3053
2025-11-11 21:49:12,694 - INFO - Epoch 7/150 - Loss D: 1.4975, Loss G: 0.2597
2025-11-11 21:52:26,111 - INFO - Epoch 8/150 - Loss D: 1.5256, Loss G: 0.2398
2025-11-11 21:55:37,464 - INFO - Epoch 9/150 - Loss D: 1.5829, Loss G: 0.2148
2025-11-11 21:58:49,937 - INFO - Epoch 10/150 - Loss D: 1.6451, Loss G: 0.1992
2025-11-11 21:58:50,080 - INFO - Saved checkpoints and samples at epoch 10
2025-11-11 22:02:01,684 - INFO - Epoch 11/150 - Loss D: 1.6841, Loss G: 0.1909
2025-11-11 22:05:14,094 - INFO - Epoch 12/150 - Loss D: 1.7106, Loss G: 0.1762
2025-11-11 22:08:26,132 - INFO - Epoch 13/150 - Loss D: 1.7210, Loss G: 0.1643
2025-11-11 22:11:38,397 - INFO - Epoch 14/150 - Loss D: 1.7298, Loss G: 0.1496
2025-11-11 22:14:51,195 - INFO - Epoch 15/150 - Loss D: 1.7521, Loss G: 0.1312
2025-11-11 22:18:02,973 - INFO - Epoch 16/150 - Loss D: 1.7536, Loss G: 0.1274
2025-11-11 22:21:14,840 - INFO - Epoch 17/150 - Loss D: 1.7577, Loss G: 0.1300
2025-11-11 22:24:26,691 - INFO - Epoch 18/150 - Loss D: 1.7615, Loss G: 0.1116
2025-11-11 22:27:38,711 - INFO - Epoch 19/150 - Loss D: 1.7710, Loss G: 0.0981
2025-11-11 22:30:51,138 - INFO - Epoch 20/150 - Loss D: 1.7695, Loss G: 0.0917
2025-11-11 22:30:51,275 - INFO - Saved checkpoints and samples at epoch 20
2025-11-11 22:34:02,780 - INFO - Epoch 21/150 - Loss D: 1.7767, Loss G: 0.0931
2025-11-11 22:37:14,489 - INFO - Epoch 22/150 - Loss D: 1.7752, Loss G: 0.0986
2025-11-11 22:40:26,285 - INFO - Epoch 23/150 - Loss D: 1.7598, Loss G: 0.1254
2025-11-11 22:43:38,064 - INFO - Epoch 24/150 - Loss D: 1.7543, Loss G: 0.1306
2025-11-11 22:46:49,431 - INFO - Epoch 25/150 - Loss D: 1.7736, Loss G: 0.1058
2025-11-11 22:50:01,132 - INFO - Epoch 26/150 - Loss D: 1.7716, Loss G: 0.1020
